ACCION RECOMENDADA,CLASE,VISTAS,TITULO,FECHA,ENGAGEMENT %,RAZON,VER VIDEO,EDITAR EN STUDIO
PONER EN PRIVADO,desconectado,1520176,El Justiciero Anónimo: El Nuevo Superhéroe Mexicano que Lucha en las Sombras,2016-11-04,1.184,"Nota viral de un vigilante urbano real: ni misterio, ni paranormal, ni leyenda; contenido de noticiero que confunde al algoritmo y no calza en ningun hermano.",https://www.youtube.com/watch?v=CnDAGSHFTUU,https://studio.youtube.com/video/CnDAGSHFTUU/edit
PONER EN PRIVADO,desconectado,1189356,La Leyenda de Mumm-Ra El Inmortal: La Historia Completa del Villano Eterno,2016-11-06,1.177,"Mumm-Ra es el villano de ThunderCats: lore de caricatura disfrazado de leyenda que atrae audiencia pop equivocada y ensucia la senal tematica; no encaja en ningun canal hermano.",https://www.youtube.com/watch?v=LHU6uJs6vyk,https://studio.youtube.com/video/LHU6uJs6vyk/edit
PONER EN PRIVADO,puente_roto,43170,Donald Trump GANA: ¿El Mundo Entero Pierde? Las Implicaciones Globales - Documental,2016-11-09,1.828,"Analisis electoral de 2016 totalmente caduco, 1.8% de engagement y cero trafico futuro: claramente resta pese a las 43k vistas.",https://www.youtube.com/watch?v=WqYNdjajnes,https://studio.youtube.com/video/WqYNdjajnes/edit
PONER EN PRIVADO,desconectado,39494,Descubre que tan aterradora es tu mente y la de los demás (RETO),2017-06-10,4.558,"Formato RETO/test psicologico de la era clickbait 2017, ajeno al documental serio; 39k vistas no compensan la confusion de formato.",https://www.youtube.com/watch?v=o5iXSdc31U8,https://studio.youtube.com/video/o5iXSdc31U8/edit
PONER EN PRIVADO,desconectado,30726,Robots y Humanos: Inteligencia Artificial y la Tecnología del Futuro - El DoQmentalista,2017-04-15,2.5,"Divulgacion tecnologica sin misterio ni marco apocaliptico (a diferencia del video de IA de 2020); 30k vistas y 2.5% de engagement, resta mas de lo que aporta.",https://www.youtube.com/watch?v=L0nIwXq6_ds,https://studio.youtube.com/video/L0nIwXq6_ds/edit
PONER EN PRIVADO,desconectado,28834,"La Historia Del Dinero, Del Trueque Al Bitcoin 5 mil años de Antigüedad al  crypto",2019-03-14,4.509,"Historia economica del dinero sin ningun angulo de misterio ni canal hermano donde encaje; 28k vistas no justifican el ruido.",https://www.youtube.com/watch?v=tkomzSq7Ouo,https://studio.youtube.com/video/tkomzSq7Ouo/edit
PONER EN PRIVADO,desconectado,26239,El DoQmentalista En Vivo Respondiendo preguntas raras y haciendo unboxing,2019-05-21,5.336,"Directo de preguntas y unboxing de 52 minutos: vida personal de canal viejo, 26k vistas prescindibles y ensucia la señal tematica.",https://www.youtube.com/watch?v=qXvpE8S7aAA,https://studio.youtube.com/video/qXvpE8S7aAA/edit
PONER EN PRIVADO,desconectado,11671,"¿El Hongo más Valioso del Mundo? Cordyceps, el Oro Biológico. #shorts #tiktok",2023-08-22,14.566,"Cordyceps es curiosidad biologica sin ningun marco de misterio (a diferencia del lago o el rio); 11k vistas en un short no compensan la dilucion tematica.",https://www.youtube.com/watch?v=PHp7ZE_kNt8,https://studio.youtube.com/video/PHp7ZE_kNt8/edit
PONER EN PRIVADO,desconectado,5874,Aviso Para Miembros De El DoQmentalista,2024-08-26,11.321,"Aviso administrativo para miembros de 2024 ya caduco; cumplio su funcion y solo ensucia el catalogo publico.",https://www.youtube.com/watch?v=78jH1iE3wpk,https://studio.youtube.com/video/78jH1iE3wpk/edit
PONER EN PRIVADO,desconectado,4695,La historia real del verdadero Scorpion. #mortalkombat #ninja #shorts #subzero,2025-09-18,5.857,"Lore de Mortal Kombat es cultura gamer, no misterio documentado; con 4.7k vistas su watch-time no compensa la senal confusa que manda al algoritmo.",https://www.youtube.com/watch?v=AagQ-LB7RPg,https://studio.youtube.com/video/AagQ-LB7RPg/edit
PONER EN PRIVADO,desconectado,4249,Descubre mi secreto para sentirme rico todo el tiempo,2024-07-03,7.484,"Motivacional de 'sentirse rico' es autoayuda generica de la era de shorts experimentales; 4.2k vistas no justifican el ruido tematico.",https://www.youtube.com/watch?v=M_JCTEjQ1qw,https://studio.youtube.com/video/M_JCTEjQ1qw/edit
PONER EN PRIVADO,desconectado,3996,Conecta con tu Pareja_ Descubre el Secreto del Amor Verdadero - El DoQmentalista,2024-06-11,7.583,"Consejo de pareja de 18 segundos es el tema mas ajeno del lote; con 4k vistas su retiro no duele y limpia la senal.",https://www.youtube.com/watch?v=i3VZkyjoCn4,https://studio.youtube.com/video/i3VZkyjoCn4/edit
PONER EN PRIVADO,desconectado,3658,Abuelas que salvaron a sus nietos de catástrofes. #shorts #abuela #tornado #explosion,2025-09-14,6.206,"Historias virales de heroismo familiar sin ningun angulo paranormal ni de misterio; no encaja en ningun canal hermano y solo diluye la identidad.",https://www.youtube.com/watch?v=WKfLeZdMQLk,https://studio.youtube.com/video/WKfLeZdMQLk/edit
